22,84
38,258
82,997
205,3657
413,11801
802,51110
1670,254042
4036,1245188
7223,5376679
13463,22109264

20,68
42,268
72,768
154,2919
379,11269
683,46658
1676,244482
4083,1242199
9245,5559053
13499,22808412

17,56
42,199
73,850
169,3050
346,11853
718,47801
1398,255449
3134,1310258
7391,5604985
15926,23139335

19,63
41,240
142,990
193,4725
1304,15839
912,51725
1711,261465
4037,1323440
6967,5678116
19047,24156053

20,69
37,226
74,819
184,3044
531,12196
754,47588
1591,272894
3884,1318861
7252,5662780
13074,24248720

